	(1)
VARIABLES	llm_刑期
	
1.treated	3.125
	(6.905)
2.treated	-4.750
	(4.379)
59.ID	24***
	(0)
65.ID	-0
	(0)
80.ID	156***
	(0)
101.ID	-0
	(0)
125.ID	156***
	(0)
148.ID	156***
	(0)
222.ID	276***
	(0)
238.ID	156***
	(0)
247.ID	156***
	(0)
260.ID	156***
	(0)
270.ID	156***
	(0)
296.ID	24***
	(0)
325.ID	-0
	(0)
369.ID	156***
	(0)
372.ID	156***
	(0)
396.ID	156***
	(0)
412.ID	156***
	(0)
425.ID	156***
	(0)
442.ID	132***
	(0)
445.ID	-0
	(0)
446.ID	156***
	(0)
449.ID	156***
	(0)
464.ID	156***
	(0)
486.ID	52***
	(0)
514.ID	276***
	(0)
526.ID	156***
	(0)
544.ID	-0
	(0)
550.ID	156***
	(0)
601.ID	276***
	(0)
670.ID	156***
	(0)
675.ID	12***
	(0)
688.ID	156***
	(0)
713.ID	156***
	(0)
720.ID	156***
	(0)
755.ID	156***
	(0)
758.ID	156***
	(0)
785.ID	156***
	(0)
807.ID	6***
	(0)
811.ID	-0
	(0)
826.ID	156***
	(0)
900.ID	56***
	(0)
919.ID	216***
	(0)
944.ID	156***
	(0)
967.ID	276***
	(0)
975.ID	52***
	(0)
991.ID	156***
	(0)
997.ID	-0
	(0)
Constant	24.54***
	(3.344)
	
Observations	144
R-squared	0.950
Robust standard errors in parentheses	
*** p<0.01, ** p<0.05, * p<0.1	
